"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",20.03.01,Техносферная безопасность,Инженерная защита окружающей среды,209,МИР,16,205700,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",15.03.06,Мехатроника и робототехника,Интеллектуальные робототехнические и мехатронные системы,218,МИР,20,205700,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",15.03.03,Прикладная механика,Строительная механика,198,МИР,20,205700,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",27.03.04,Управление в технических системах,Компьютерные технологии управления морской техникой,209,МИР,17,205700,123,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",17.03.01,Корабельное вооружение,Техническая акустика и гидрофизика,205,МИР,20,242800,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",17.03.01,Корабельное вооружение,Компьютерные системы управления морской техникой,205,МИР,20,242800,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",17.03.01,Корабельное вооружение,Корабельные комплексы и информационно-управляющие системы,205,МИР,20,242800,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",17.03.01,Корабельное вооружение,Проектирование и производство необитаемых подводных аппаратов и роботов,205,МИР,20,242800,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры",Кораблестроение и техническая эксплуатация судов,207,МИР,49,67400,118,"З, О, ОЗ"
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры",Океанотехника,207,МИР,25,242800,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры",Проектирование и производство конструкций морской техники из композиционных материалов,207,МИР,25,242800,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры",Компьютерное моделирование динамики корабля,221,МИР,25,242800,123,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры",Судовые энергетические установки,207,МИР,25,83800,118,"О, ОЗ"
